* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列7個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)7個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* SS04 日照時數(約旦)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TG01 草溫(地上氣溫5cm)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TS08 地中溫度200cm(℃)
* TS09 地中溫度300cm(℃)
* TS10 地中溫度500cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* WD09 瞬間極大風發生時間
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno yyyymmddhh     PS01     TX01     RH01     WD01     WD02     WD07     WD08     PP01     SS01     TS01     TS02     TS03     TS04     TS06     TS07     GR01     WD09     TG01
C0C660 2025022724    999.1     14.9       91      0.0      0.0      1.6    160.0      0.0     None     None     None     None     None     None     None     None     3500     None
C0C660 2025022801    998.6     14.4       93      0.0      0.0      1.5    184.0      0.0     None     None     None     None     None     None     None     None     3400     None
C0C660 2025022802    997.9     14.1       93      0.0      0.0      1.0    181.0      0.0     None     None     None     None     None     None     None     None     2900     None
C0C660 2025022803    997.5     14.3       92      1.5    176.0      2.1    176.0      0.0     None     None     None     None     None     None     None     None     4500     None
C0C660 2025022804    997.4     14.1       92      0.0      0.0      1.9    175.0      0.0     None     None     None     None     None     None     None     None     0900     None
C0C660 2025022805    997.8     13.8       93      0.0      0.0      2.0    181.0      0.0     None     None     None     None     None     None     None     None     2200     None
C0C660 2025022806    998.6     13.4       93      0.0      0.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     0500     None
C0C660 2025022807    999.3     14.2       93      0.0      0.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     0500     None
C0C660 2025022808    999.8     18.3       78      0.0      0.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     0500     None
C0C660 2025022809   1000.0     21.5       63      0.0      0.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     0500     None
C0C660 2025022810    999.7     22.7       57      0.0      0.0      0.2      0.0      0.0     None     None     None     None     None     None     None     None     1100     None
C0C660 2025022811    999.6     22.4       65      2.1    284.0      4.5    270.0      0.0     None     None     None     None     None     None     None     None     5500     None
C0C660 2025022812    999.6     22.1       67      2.4    296.0      5.5    275.0      0.0     None     None     None     None     None     None     None     None     5100     None
C0C660 2025022813    998.8     21.2       66      2.5    309.0      5.3    289.0      0.0     None     None     None     None     None     None     None     None     3200     None
C0C660 2025022814    998.1     21.3       67      2.2    337.0      4.8    326.0      0.0     None     None     None     None     None     None     None     None     2100     None
C0C660 2025022815    997.6     21.7       61      1.9    310.0      4.6    312.0      0.0     None     None     None     None     None     None     None     None     1400     None
C0C660 2025022816    997.2     22.1       61      0.7    313.0      4.0    293.0      0.0     None     None     None     None     None     None     None     None     2000     None
C0C660 2025022817    997.0     21.9       63      1.3    336.0      2.7    330.0      0.0     None     None     None     None     None     None     None     None     1400     None
C0C660 2025022818    996.9     20.7       69      0.5    317.0      2.4    315.0      0.0     None     None     None     None     None     None     None     None     1900     None
C0C660 2025022819    997.0     20.0       71      0.4     52.0      1.7     16.0      0.0     None     None     None     None     None     None     None     None     3200     None
C0C660 2025022820    997.3     18.7       80      0.0      0.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     0500     None
C0C660 2025022821    997.7     17.9       83      0.0      0.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     0500     None
C0C660 2025022822    997.9     17.2       86      0.0      0.0      0.1      0.0      0.0     None     None     None     None     None     None     None     None     3500     None
C0C660 2025022823    997.8     17.1       86      0.0      0.0      0.1      0.0      0.0     None     None     None     None     None     None     None     None     1900     None
C0C660 2025022824    998.1     16.4       89      0.0      0.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     5500     None
C0C670 2025020101    988.6     15.7       98      0.9    166.0      2.8    210.0      1.5     None     None     None     None     None     None     None     None     3800     None
C0C670 2025020102    988.3     15.6       99      0.8    195.0      2.9    152.0      4.0     None     None     None     None     None     None     None     None     2000     None
C0C670 2025020103    987.6     15.6       99      2.0    150.0      4.4    155.0      2.0     None     None     None     None     None     None     None     None     4100     None
C0C670 2025020104    986.7     15.7       99      2.7    157.0      4.9    138.0      0.5     None     None     None     None     None     None     None     None     3100     None
C0C670 2025020105    986.5     15.9       98      0.9    166.0      3.3    168.0      0.0     None     None     None     None     None     None     None     None     0300     None
C0C670 2025020106    986.6     16.1       95      1.0    157.0      2.3    170.0      0.0     None     None     None     None     None     None     None     None     2600     None
C0C670 2025020107    986.5     16.1       96      0.8    170.0      2.0    129.0      0.0     None     None     None     None     None     None     None     None     1900     None
C0C670 2025020108    986.7     16.8       96      0.0      0.0      1.5    188.0      0.0     None     None     None     None     None     None     None     None     1800     None
C0C670 2025020109    987.2     18.3       89      0.5     40.0      1.4     13.0      0.0     None     None     None     None     None     None     None     None     4800     None
C0C670 2025020110    987.3     19.2       87      0.5    129.0      1.9    338.0      0.0     None     None     None     None     None     None     None     None     0900     None
C0C670 2025020111    986.4     20.8       80      0.4    341.0      2.0    345.0      0.0     None     None     None     None     None     None     None     None     5900     None
C0C670 2025020112    985.5     22.9       68      1.3     19.0      3.3    355.0      0.0     None     None     None     None     None     None     None     None     4900     None
C0C670 2025020113    985.0     21.5       78      1.8    350.0      4.2      8.0      0.0     None     None     None     None     None     None     None     None     3400     None
C0C670 2025020114    984.6     20.0       84      2.7      3.0      5.3      8.0      0.0     None     None     None     None     None     None     None     None     5000     None
C0C670 2025020115    984.0     18.0       89      2.7    352.0      5.3      5.0      0.0     None     None     None     None     None     None     None     None     0600     None
C0C670 2025020116    984.0     17.6       91      2.8      2.0      6.1     14.0      0.0     None     None     None     None     None     None     None     None     5700     None
C0C670 2025020117    984.3     17.0       96      2.5      8.0      5.7     19.0      0.0     None     None     None     None     None     None     None     None     0500     None
C0C670 2025020118    984.1     17.3       95      2.6      6.0      5.8      7.0      0.0     None     None     None     None     None     None     None     None     4400     None
C0C670 2025020119    985.3     15.8       98      3.4    360.0      8.8     11.0      0.5     None     None     None     None     None     None     None     None     4300     None
C0C670 2025020120    986.5     15.0       98      2.6     11.0      9.6      6.0      2.5     None     None     None     None     None     None     None     None     3100     None
C0C670 2025020121    986.4     14.8       97      2.6     17.0      6.9     70.0      0.0     None     None     None     None     None     None     None     None     1200     None
C0C670 2025020122    987.0     14.8       97      2.7     20.0      6.5     41.0      0.5     None     None     None     None     None     None     None     None     1300     None
C0C670 2025020123    987.1     14.2       97      3.0     24.0      8.4     28.0      0.5     None     None     None     None     None     None     None     None     4000     None
C0C670 2025020124    987.3     14.0       97      2.6     22.0      7.5      7.0      0.5     None     None     None     None     None     None     None     None     5300     None
C0C670 2025020201    987.2     14.3       97      1.7     26.0      4.9     28.0      0.0     None     None     None     None     None     None     None     None     2000     None
C0C670 2025020202    987.2     14.2       96      2.1     30.0      6.4     33.0      0.0     None     None     None     None     None     None     None     None     4800     None
C0C670 2025020203    986.5     14.2       97      2.3     53.0      5.9     72.0      1.0     None     None     None     None     None     None     None     None     4700     None
C0C670 2025020204    986.4     14.1       98      1.7     16.0      5.6     22.0      2.0     None     None     None     None     None     None     None     None     0400     None
C0C670 2025020205    985.9     14.3       98      1.8     27.0      5.8     26.0      0.5     None     None     None     None     None     None     None     None     5000     None
C0C670 2025020206    986.9     14.1       98      2.9      7.0      6.8      9.0      0.0     None     None     None     None     None     None     None     None     4200     None
C0C670 2025020207    987.7     13.8       99      2.0      8.0      6.7    359.0      0.0     None     None     None     None     None     None     None     None     1200     None
C0C670 2025020208    988.2     13.5       99      2.3     10.0      6.9    346.0      0.5     None     None     None     None     None     None     None     None     0700     None
C0C670 2025020209    988.2     13.4       99      2.0     15.0      6.4     34.0      0.0     None     None     None     None     None     None     None     None     0500     None
C0C670 2025020210    988.5     13.4       99      2.5      5.0      5.1     14.0      0.0     None     None     None     None     None     None     None     None     2800     None
C0C670 2025020211    987.8     13.5       99      2.5     13.0      5.8      5.0      0.0     None     None     None     None     None     None     None     None     1700     None
C0C670 2025020212    986.8     13.8       99      2.3     12.0      6.5      1.0      0.0     None     None     None     None     None     None     None     None     2700     None
C0C670 2025020213    985.9     14.0       99      2.0      3.0      4.9     28.0      0.0     None     None     None     None     None     None     None     None     5900     None
C0C670 2025020214    985.3     14.1       99      1.7      3.0      4.7      6.0      0.0     None     None     None     None     None     None     None     None     1600     None
C0C670 2025020215    985.1     14.3       98      1.8      8.0      5.6      1.0      0.0     None     None     None     None     None     None     None     None     4000     None
C0C670 2025020216    985.7     13.7       99      2.1      4.0      5.7     20.0      0.0     None     None     None     None     None     None     None     None     2700     None
C0C670 2025020217    986.6     13.6       99      2.8      7.0      6.2     42.0      0.5     None     None     None     None     None     None     None     None     5200     None
C0C670 2025020218    987.0     13.5       99      3.0      4.0      7.7     11.0      0.0     None     None     None     None     None     None     None     None     2600     None
C0C670 2025020219    987.6     13.4       99      2.4      5.0      6.3     14.0      0.5     None     None     None     None     None     None     None     None     4100     None
C0C670 2025020220    988.1     13.5       99      2.1      4.0      5.0     79.0      0.5     None     None     None     None     None     None     None     None     1900     None
C0C670 2025020221    987.8     13.7       99      1.9     26.0      5.0     12.0      0.0     None     None     None     None     None     None     None     None     5700     None
C0C670 2025020222    988.2     14.0       99      2.7      8.0      5.5    341.0      0.0     None     None     None     None     None     None     None     None     5900     None
C0C670 2025020223    988.5     14.0       97      1.6     14.0      6.2     53.0      0.0     None     None     None     None     None     None     None     None     0200     None
C0C670 2025020224    988.4     14.1       96      1.8      9.0      5.8     37.0      0.0     None     None     None     None     None     None     None     None     1700     None
C0C670 2025020301    988.6     14.1       97      2.3      9.0      5.7     17.0      0.0     None     None     None     None     None     None     None     None     0200     None
C0C670 2025020302    988.7     13.8       98      1.6     24.0      5.2     44.0      0.0     None     None     None     None     None     None     None     None     1500     None
C0C670 2025020303    988.4     13.4       99      2.4     32.0      5.5     58.0      1.0     None     None     None     None     None     None     None     None     4400     None
C0C670 2025020304    988.7     13.1       99      2.0      8.0      6.3     56.0      0.0     None     None     None     None     None     None     None     None     3100     None
C0C670 2025020305    988.8     13.2       99      2.1     31.0      6.6     25.0      0.5     None     None     None     None     None     None     None     None     4700     None
C0C670 2025020306    989.6     12.8       98      2.0     27.0      7.5     15.0      0.0     None     None     None     None     None     None     None     None     4800     None
C0C670 2025020307    990.5     12.0       98      2.8      8.0      6.5     13.0      0.5     None     None     None     None     None     None     None     None     4900     None
C0C670 2025020308    991.6     11.8       98      2.7     11.0      9.0     31.0      1.0     None     None     None     None     None     None     None     None     0200     None
C0C670 2025020309    992.6     10.7       98      4.1      4.0      9.4     14.0      1.0     None     None     None     None     None     None     None     None     1500     None
C0C670 2025020310    992.8     10.4       98      3.9      5.0      9.7    360.0      0.5     None     None     None     None     None     None     None     None     2900     None
C0C670 2025020311    992.6     10.5       98      2.7     13.0      8.4    352.0      1.0     None     None     None     None     None     None     None     None     0500     None
C0C670 2025020312    991.7     10.4       97      3.1      6.0      8.4      8.0      1.5     None     None     None     None     None     None     None     None     3100     None
C0C670 2025020313    991.1     10.5       97      2.8      6.0      7.7     12.0      0.5     None     None     None     None     None     None     None     None     2700     None
C0C670 2025020314    991.2     10.0       97      3.9      8.0      8.8      6.0      0.0     None     None     None     None     None     None     None     None     4800     None
C0C670 2025020315    992.0      9.3       99      3.6      7.0      9.3    348.0      1.5     None     None     None     None     None     None     None     None     3600     None
C0C670 2025020316    992.6      8.8       98      4.1      9.0      9.8     14.0      1.5     None     None     None     None     None     None     None     None     2700     None
C0C670 2025020317    993.4      8.8       98      3.3      4.0     10.1    341.0      1.0     None     None     None     None     None     None     None     None     2500     None
C0C670 2025020318    993.9      8.6       98      3.2     15.0      9.2      2.0      1.0     None     None     None     None     None     None     None     None     2300     None
C0C670 2025020319    994.3      8.9       98      2.2     21.0      7.1     36.0      0.5     None     None     None     None     None     None     None     None     2100     None
C0C670 2025020320    994.6      9.2       96      2.2     32.0      6.7     56.0      1.0     None     None     None     None     None     None     None     None     2300     None
C0C670 2025020321    994.9      9.3       97      2.1     29.0      6.1     57.0      0.5     None     None     None     None     None     None     None     None     2000     None
C0C670 2025020322    995.0      9.4       98      1.7     39.0      6.2     40.0      0.0     None     None     None     None     None     None     None     None     2000     None
C0C670 2025020323    995.0      9.3       97      3.2     32.0      7.6     49.0      0.0     None     None     None     None     None     None     None     None     4600     None
C0C670 2025020324    995.3      9.1       96      2.2     18.0      6.9     24.0      1.0     None     None     None     None     None     None     None     None     4100     None
C0C670 2025020401    995.9      9.1       94      3.1     25.0      8.0     30.0      1.0     None     None     None     None     None     None     None     None     0300     None
C0C670 2025020402    996.2      8.5       96      2.2     11.0      7.4     51.0      1.5     None     None     None     None     None     None     None     None     5100     None
C0C670 2025020403    996.1      8.4       93      2.9     33.0      7.7     37.0      1.0     None     None     None     None     None     None     None     None     0400     None
C0C670 2025020404    995.7      8.2       96      1.9     36.0      7.0     41.0      0.0     None     None     None     None     None     None     None     None     0300     None
C0C670 2025020405    995.4      8.4       91      3.0     52.0      7.4     67.0      0.0     None     None     None     None     None     None     None     None     2000     None
C0C670 2025020406    995.5      8.6       88      2.9     54.0      6.9     47.0      0.0     None     None     None     None     None     None     None     None     5400     None
C0C670 2025020407    995.5      8.9       83      2.5     57.0      6.3     47.0      0.0     None     None     None     None     None     None     None     None     4500     None
C0C670 2025020408    995.9      9.0       83      2.3     25.0      6.8     27.0      0.0     None     None     None     None     None     None     None     None     4700     None
C0C670 2025020409    995.7     10.0       76      2.5     51.0      9.0     54.0      0.0     None     None     None     None     None     None     None     None     5500     None
C0C670 2025020410    995.0     11.4       63      4.1     58.0     10.6      7.0      0.0     None     None     None     None     None     None     None     None     5200     None
C0C670 2025020411    994.4     12.5       61      3.2     55.0     10.1     21.0      0.0     None     None     None     None     None     None     None     None     3400     None
C0C670 2025020412    993.5     13.1       58      3.5     19.0      9.9     17.0      0.0     None     None     None     None     None     None     None     None     4900     None
C0C670 2025020413    992.3     13.1       56      3.8     34.0     10.9     41.0      0.0     None     None     None     None     None     None     None     None     5600     None
C0C670 2025020414    991.7     13.1       54      3.7     32.0     10.6     68.0      0.0     None     None     None     None     None     None     None     None     0800     None
C0C670 2025020415    992.0     12.8       53      3.5     50.0     10.5     60.0      0.0     None     None     None     None     None     None     None     None     0800     None
C0C670 2025020416    992.9     12.3       54      3.6     33.0     11.3     72.0      0.0     None     None     None     None     None     None     None     None     1000     None
C0C670 2025020417    993.5     10.9       61      3.4     41.0     11.4     74.0      0.0     None     None     None     None     None     None     None     None     1300     None
C0C670 2025020418    993.5     10.1       64      3.8     33.0      8.9     17.0      0.0     None     None     None     None     None     None     None     None     4100     None
C0C670 2025020419    993.3      9.8       65      1.9     34.0      7.0     61.0      0.0     None     None     None     None     None     None     None     None     0200     None
C0C670 2025020420    993.6      9.6       63      4.0     49.0     10.7     39.0      0.0     None     None     None     None     None     None     None     None     3100     None
C0C670 2025020421    993.6      9.4       63      3.4     47.0     10.2     51.0      0.0     None     None     None     None     None     None     None     None     1100     None
C0C670 2025020422    993.2      9.7       60      2.8     47.0      9.1     73.0      0.0     None     None     None     None     None     None     None     None     1900     None
C0C670 2025020423    992.7      9.7       61      3.3     30.0      9.7     25.0      0.0     None     None     None     None     None     None     None     None     5800     None
C0C670 2025020424    992.6      9.9       60      3.1     33.0      9.7     25.0      0.0     None     None     None     None     None     None     None     None     5800     None
C0C670 2025020501    992.6     10.1       61      2.9     54.0      8.3     35.0      0.0     None     None     None     None     None     None     None     None     2700     None
C0C670 2025020502    992.1     10.3       62      3.1     65.0      7.9     70.0      0.0     None     None     None     None     None     None     None     None     4600     None
C0C670 2025020503    991.9     10.4       64      2.3     43.0      7.5     40.0      0.0     None     None     None     None     None     None     None     None     5000     None
C0C670 2025020504    991.8     10.5       63      3.3     32.0      7.4     21.0      0.0     None     None     None     None     None     None     None     None     4200     None
C0C670 2025020505    991.9     10.7       65      2.6     37.0      8.2     37.0      0.0     None     None     None     None     None     None     None     None     5400     None
C0C670 2025020506    991.9     10.5       67      2.6     41.0      8.3     79.0      0.0     None     None     None     None     None     None     None     None     3100     None
C0C670 2025020507    992.1     11.0       66      2.2     33.0      7.3     80.0      0.0     None     None     None     None     None     None     None     None     5600     None
C0C670 2025020508    991.7     11.6       65      2.7     51.0      7.8     18.0      0.0     None     None     None     None     None     None     None     None     3900     None
C0C670 2025020509    991.7     12.4       63      2.3     40.0      7.8     88.0      0.0     None     None     None     None     None     None     None     None     4900     None
C0C670 2025020510    991.6     13.8       58      2.9     36.0      8.6     61.0      0.0     None     None     None     None     None     None     None     None     1000     None
C0C670 2025020511    990.6     15.6       51      2.6     44.0      8.1     78.0      0.0     None     None     None     None     None     None     None     None     1600     None
C0C670 2025020512    989.9     15.8       52      2.1     41.0      7.0     13.0      0.0     None     None     None     None     None     None     None     None     1800     None
C0C670 2025020513    989.1     16.1       53      2.2     21.0      7.0     72.0      0.0     None     None     None     None     None     None     None     None     1200     None
C0C670 2025020514    988.6     15.7       55      1.7     44.0      6.0     89.0      0.0     None     None     None     None     None     None     None     None     5000     None
C0C670 2025020515    988.7     15.4       56      1.5     31.0      5.6     71.0      0.0     None     None     None     None     None     None     None     None     0600     None
C0C670 2025020516    988.8     14.7       60      2.0     57.0      4.9     57.0      0.0     None     None     None     None     None     None     None     None     5500     None
C0C670 2025020517    989.2     14.3       62      1.2     40.0      4.1     83.0      0.0     None     None     None     None     None     None     None     None     1300     None
C0C670 2025020518    989.5     13.7       64      1.4     51.0      4.3     72.0      0.0     None     None     None     None     None     None     None     None     2700     None
C0C670 2025020519    989.8     13.3       67      1.0     57.0      4.1     68.0      0.0     None     None     None     None     None     None     None     None     1000     None
C0C670 2025020520    990.5     12.8       70      0.8     28.0      3.2     82.0      0.0     None     None     None     None     None     None     None     None     5500     None
C0C670 2025020521    991.2     13.0       69      1.1     47.0      3.6     28.0      0.0     None     None     None     None     None     None     None     None     4300     None
C0C670 2025020522    991.5     13.1       70      0.7     59.0      2.6    115.0      0.0     None     None     None     None     None     None     None     None     0000     None
C0C670 2025020523    991.3     12.9       73      1.2     97.0      3.0     93.0      0.0     None     None     None     None     None     None     None     None     4700     None
C0C670 2025020524    991.1     13.2       73      1.2     28.0      3.1     68.0      0.0     None     None     None     None     None     None     None     None     1100     None
C0C670 2025020601    990.7     13.2       76      1.0     98.0      4.4     60.0      0.0     None     None     None     None     None     None     None     None     1700     None
C0C670 2025020602    990.3     12.9       81      1.0     59.0      4.5     77.0      0.0     None     None     None     None     None     None     None     None     3300     None
C0C670 2025020603    989.9     12.7       84      0.7     56.0      3.1     73.0      0.0     None     None     None     None     None     None     None     None     4100     None
C0C670 2025020604    990.0     12.7       84      1.1     68.0      4.0     90.0      0.0     None     None     None     None     None     None     None     None     4300     None
C0C670 2025020605    990.1     12.7       86      0.7     28.0      3.7     62.0      0.0     None     None     None     None     None     None     None     None     0000     None
C0C670 2025020606    990.5     12.8       86      0.8     19.0      3.4     45.0      0.0     None     None     None     None     None     None     None     None     0800     None
C0C670 2025020607    991.4     12.9       88      0.6     39.0      3.1     13.0      0.0     None     None     None     None     None     None     None     None     1500     None
C0C670 2025020608    991.7     13.0       87      1.0     81.0      4.1     70.0      0.0     None     None     None     None     None     None     None     None     5700     None
C0C670 2025020609    992.1     13.3       85      1.5     58.0      4.7     32.0      0.0     None     None     None     None     None     None     None     None     5200     None
C0C670 2025020610    991.8     13.5       85      1.2     77.0      4.5     70.0      0.0     None     None     None     None     None     None     None     None     5500     None
C0C670 2025020611    990.9     14.0       85      1.8     52.0      5.8     63.0      0.0     None     None     None     None     None     None     None     None     5700     None
C0C670 2025020612    989.7     14.8       83      1.6     53.0      5.2     65.0      0.0     None     None     None     None     None     None     None     None     2200     None
C0C670 2025020613    988.7     16.3       77      1.8     65.0      5.1     83.0      0.0     None     None     None     None     None     None     None     None     3200     None
C0C670 2025020614    988.2     15.6       80      1.7     44.0      4.4     91.0      0.0     None     None     None     None     None     None     None     None     5300     None
C0C670 2025020615    988.0     15.5       82      0.9     49.0      4.0     52.0      0.0     None     None     None     None     None     None     None     None     0300     None
C0C670 2025020616    988.4     15.2       84      0.9     70.0      3.1     61.0      0.0     None     None     None     None     None     None     None     None     3700     None
C0C670 2025020617    989.1     14.8       87      0.7     39.0      3.9     59.0      0.0     None     None     None     None     None     None     None     None     0300     None
C0C670 2025020618    989.8     14.8       87      0.7     71.0      2.5     41.0      0.0     None     None     None     None     None     None     None     None     2000     None
C0C670 2025020619    990.4     14.5       88      0.7     17.0      2.7     68.0      0.0     None     None     None     None     None     None     None     None     2500     None
C0C670 2025020620    990.9     14.3       90      0.7     17.0      3.1     52.0      0.0     None     None     None     None     None     None     None     None     1400     None
C0C670 2025020621    990.6     14.2       91      1.2     16.0      3.0     68.0      0.0     None     None     None     None     None     None     None     None     3900     None
C0C670 2025020622    990.6     14.1       91      1.2     18.0      3.6    344.0      0.0     None     None     None     None     None     None     None     None     5300     None
C0C670 2025020623    991.1     14.4       89      1.6     36.0      5.3     38.0      0.0     None     None     None     None     None     None     None     None     2900     None
C0C670 2025020624    990.9     14.4       92      1.7     52.0      5.0     29.0      0.0     None     None     None     None     None     None     None     None     0600     None
C0C670 2025020701    991.6     14.4       92      1.0     29.0      3.4     33.0      0.0     None     None     None     None     None     None     None     None     4400     None
C0C670 2025020702    991.6     14.0       96      0.6     29.0      2.6    336.0      0.0     None     None     None     None     None     None     None     None     3100     None
C0C670 2025020703    991.2     13.9       98      1.2     51.0      3.5     94.0      0.0     None     None     None     None     None     None     None     None     5800     None
C0C670 2025020704    991.4     13.8       98      1.6     10.0      4.9     94.0      0.5     None     None     None     None     None     None     None     None     0500     None
C0C670 2025020705    991.9     12.8       99      2.4      6.0      5.7     16.0      1.5     None     None     None     None     None     None     None     None     4500     None
C0C670 2025020706    992.3     12.5       98      2.1     30.0      6.5     77.0      0.0     None     None     None     None     None     None     None     None     4600     None
C0C670 2025020707    993.0     12.4       97      2.6     21.0      7.3     75.0      0.0     None     None     None     None     None     None     None     None     1900     None
C0C670 2025020708    993.6     12.0       96      3.6     41.0      8.9     66.0      0.0     None     None     None     None     None     None     None     None     2800     None
C0C670 2025020709    994.4     12.0       93      4.1     30.0     11.7     44.0      0.0     None     None     None     None     None     None     None     None     5000     None
C0C670 2025020710    994.6     12.0       91      2.9     31.0     10.8     26.0      0.0     None     None     None     None     None     None     None     None     1200     None
C0C670 2025020711    994.0     12.6       89      3.9     29.0     11.0     67.0      0.0     None     None     None     None     None     None     None     None     0300     None
C0C670 2025020712    993.4     12.9       86      3.6     45.0     12.0     76.0      0.0     None     None     None     None     None     None     None     None     4300     None
C0C670 2025020713    993.3     12.6       86      3.6     31.0     10.2     18.0      0.0     None     None     None     None     None     None     None     None     0500     None
C0C670 2025020714    992.8     11.7       90      3.8     40.0     11.6     48.0      0.5     None     None     None     None     None     None     None     None     5900     None
C0C670 2025020715    993.5     10.3       91      3.5     29.0     11.3     37.0      0.0     None     None     None     None     None     None     None     None     1200     None
C0C670 2025020716    994.5     10.3       85      3.0     54.0     10.5      5.0      0.0     None     None     None     None     None     None     None     None     1000     None
C0C670 2025020717    995.4     10.3       80      2.7     36.0      9.4     72.0      0.0     None     None     None     None     None     None     None     None     2300     None
C0C670 2025020718    995.9     10.5       75      3.5     49.0      8.9     68.0      0.0     None     None     None     None     None     None     None     None     2700     None
C0C670 2025020719    996.6     10.1       79      4.0     57.0      9.7     79.0      0.0     None     None     None     None     None     None     None     None     2400     None
C0C670 2025020720    997.3      9.8       81      3.4     54.0     11.7     74.0      0.0     None     None     None     None     None     None     None     None     5300     None
C0C670 2025020721    997.4      9.4       85      3.0     48.0     11.2     76.0      0.0     None     None     None     None     None     None     None     None     1800     None
C0C670 2025020722    997.3      9.7       83      2.9     46.0     10.2     59.0      0.0     None     None     None     None     None     None     None     None     0200     None
C0C670 2025020723    997.1      9.0       93      3.6     35.0     11.8     64.0      0.0     None     None     None     None     None     None     None     None     5900     None
C0C670 2025020724    997.3      8.8       93      4.2     34.0     11.8     64.0      0.0     None     None     None     None     None     None     None     None     5900     None
C0C670 2025020801    997.3      8.3       93      4.1     50.0     15.2     74.0      0.0     None     None     None     None     None     None     None     None     2100     None
C0C670 2025020802    996.8      8.2       90      4.7     43.0     12.5     34.0      0.0     None     None     None     None     None     None     None     None     4900     None
C0C670 2025020803    997.2      8.2       85      3.5     50.0     12.2     28.0      0.0     None     None     None     None     None     None     None     None     0100     None
C0C670 2025020804    997.1      7.8       88      4.8     55.0     12.6     44.0      0.0     None     None     None     None     None     None     None     None     2100     None
C0C670 2025020805    997.2      7.7       87      4.6     61.0     11.2     56.0      0.0     None     None     None     None     None     None     None     None     3500     None
C0C670 2025020806    997.3      7.9       83      4.3     53.0     11.8     73.0      0.0     None     None     None     None     None     None     None     None     1900     None
C0C670 2025020807    997.6      7.9       80      4.5     58.0     12.6     54.0      0.0     None     None     None     None     None     None     None     None     5800     None
C0C670 2025020808    998.4      7.8       79      5.0     55.0     12.2     69.0      0.0     None     None     None     None     None     None     None     None     0700     None
C0C670 2025020809    999.0      7.7       76      5.2     58.0     13.5     57.0      0.0     None     None     None     None     None     None     None     None     0400     None
C0C670 2025020810    999.5      7.8       73      4.9     58.0     12.6     67.0      0.0     None     None     None     None     None     None     None     None     1900     None
C0C670 2025020811    999.2      7.7       71      4.8     53.0     13.6     40.0      0.0     None     None     None     None     None     None     None     None     0100     None
C0C670 2025020812    998.1      7.4       72      5.0     57.0     13.7     68.0      0.0     None     None     None     None     None     None     None     None     1200     None
C0C670 2025020813    997.1      7.6       69      5.2     56.0     13.4     60.0      0.0     None     None     None     None     None     None     None     None     3300     None
C0C670 2025020814    996.5      7.7       67      4.5     55.0     11.6     74.0      0.0     None     None     None     None     None     None     None     None     4300     None
